Date,Tweet Count
2020-03-01,134
2020-03-02,259
2020-03-03,491
2020-03-04,812
2020-03-05,616
2020-03-06,450
2020-03-07,400
2020-03-08,294
2020-03-09,444
2020-03-10,406
2020-03-11,740
2020-03-12,1216
2020-03-13,1472
2020-03-14,1303
2020-03-15,1289
2020-03-16,1513
2020-03-17,1698
2020-03-18,1677
2020-03-19,2603
2020-03-20,2473
2020-03-21,3386
2020-03-22,5949
2020-03-23,4718
2020-03-24,5364
2020-03-25,4307
2020-03-26,3924
2020-03-27,3829
2020-03-28,4672
2020-03-29,4469
2020-03-30,3845
2020-03-31,3805
2020-04-01,3281
2020-04-02,3263
2020-04-03,3195
2020-04-04,2933
2020-04-05,3718
2020-04-06,3163
2020-04-07,3109
2020-04-08,3163
2020-04-09,3057
2020-04-10,3076
2020-04-11,4095
2020-04-12,3225
2020-04-13,3005
2020-04-14,4745
2020-04-15,2972
2020-04-16,3146
2020-04-17,2929
2020-04-18,2924
2020-04-19,3104
2020-04-20,2761
2020-04-21,2595
2020-04-22,2669
2020-04-23,2411
2020-04-24,2683
2020-04-25,2935
2020-04-26,2868
2020-04-27,2733
2020-04-28,2563
2020-04-29,2184
2020-04-30,2085
2020-05-01,3545
2020-05-02,2916
2020-05-03,2864
2020-05-04,2596
2020-05-05,2283
2020-05-06,2127
2020-05-07,2207
2020-05-08,2310
2020-05-09,2219
2020-05-10,1969
2020-05-11,2209
2020-05-12,2584
2020-05-13,1754
2020-05-14,1795
2020-05-15,1848
2020-05-16,1972
2020-05-17,2662
2020-05-18,2028
2020-05-19,1891
2020-05-20,1733
2020-05-21,1607
2020-05-22,1543
2020-05-23,1549
2020-05-24,1723
2020-05-25,1674
2020-05-26,1746
2020-05-27,1651
2020-05-28,1540
2020-05-29,1381
2020-05-30,1828
2020-05-31,1788
2020-06-01,1347
2020-06-02,1136
2020-06-03,1199
2020-06-04,1114
2020-06-05,1241
2020-06-06,1256
2020-06-07,1470
2020-06-08,1436
2020-06-09,1494
2020-06-10,1448
2020-06-11,1280
2020-06-12,4396
2020-06-13,11052
2020-06-14,8779
2020-06-15,11021
2020-06-16,10418
2020-06-17,11344
2020-06-18,9875
2020-06-19,12995
2020-06-20,10944
2020-06-21,10859
2020-06-22,13271
2020-06-23,14381
2020-06-24,11704
2020-06-25,14403
2020-06-26,14487
