,Date,Positive,Negative,Somewhat Positive,Somewhat Negative,Neutral,Total
0,2020-03-01,23,28,19,19,45,134
1,2020-03-02,51,41,33,30,104,259
2,2020-03-03,92,89,82,64,164,491
3,2020-03-04,164,140,119,96,293,812
4,2020-03-05,121,110,82,69,234,616
5,2020-03-06,71,81,73,72,153,450
6,2020-03-07,80,58,58,53,151,400
7,2020-03-08,50,66,34,34,110,294
8,2020-03-09,95,73,61,61,154,444
9,2020-03-10,87,66,50,50,153,406
10,2020-03-11,134,101,100,91,314,740
11,2020-03-12,238,204,162,159,453,1216
12,2020-03-13,296,240,209,192,535,1472
13,2020-03-14,277,191,182,169,484,1303
14,2020-03-15,276,215,199,173,426,1289
15,2020-03-16,353,261,216,166,517,1513
16,2020-03-17,414,253,276,176,579,1698
17,2020-03-18,373,261,265,212,566,1677
18,2020-03-19,613,346,392,319,933,2603
19,2020-03-20,613,325,391,275,869,2473
20,2020-03-21,1006,393,515,351,1121,3386
21,2020-03-22,1916,540,929,549,2015,5949
22,2020-03-23,1137,631,723,536,1691,4718
23,2020-03-24,1331,616,844,534,2039,5364
24,2020-03-25,1141,610,648,455,1453,4307
25,2020-03-26,976,580,558,410,1400,3924
26,2020-03-27,1046,501,576,418,1288,3829
27,2020-03-28,1227,694,711,522,1518,4672
28,2020-03-29,1259,682,655,434,1439,4469
29,2020-03-30,972,592,556,403,1322,3845
30,2020-03-31,888,640,599,395,1283,3805
31,2020-04-01,810,518,471,370,1112,3281
32,2020-04-02,856,556,475,336,1040,3263
33,2020-04-03,878,425,489,339,1064,3195
34,2020-04-04,825,386,453,276,993,2933
35,2020-04-05,1044,454,561,443,1216,3718
36,2020-04-06,837,438,470,330,1088,3163
37,2020-04-07,875,416,464,308,1046,3109
38,2020-04-08,939,413,494,310,1007,3163
39,2020-04-09,867,403,471,331,985,3057
40,2020-04-10,872,449,437,281,1037,3076
41,2020-04-11,1131,496,615,397,1456,4095
42,2020-04-12,881,414,542,290,1098,3225
43,2020-04-13,859,358,457,270,1061,3005
44,2020-04-14,1223,557,735,448,1782,4745
45,2020-04-15,805,444,446,304,973,2972
46,2020-04-16,804,450,485,308,1099,3146
47,2020-04-17,807,406,448,285,983,2929
48,2020-04-18,804,393,461,304,962,2924
49,2020-04-19,815,439,456,337,1057,3104
50,2020-04-20,752,432,428,255,894,2761
51,2020-04-21,684,376,386,290,859,2595
52,2020-04-22,768,383,411,278,829,2669
53,2020-04-23,654,317,383,236,821,2411
54,2020-04-24,796,328,430,267,862,2683
55,2020-04-25,877,387,435,303,933,2935
56,2020-04-26,791,389,438,276,974,2868
57,2020-04-27,739,370,393,266,965,2733
58,2020-04-28,722,355,351,246,889,2563
59,2020-04-29,608,260,348,236,732,2184
60,2020-04-30,578,303,347,210,647,2085
61,2020-05-01,869,387,561,262,1466,3545
62,2020-05-02,851,335,477,271,982,2916
63,2020-05-03,869,334,448,299,914,2864
64,2020-05-04,697,406,369,276,848,2596
65,2020-05-05,636,297,341,257,752,2283
66,2020-05-06,642,336,295,191,663,2127
67,2020-05-07,548,350,314,238,757,2207
68,2020-05-08,606,360,345,232,767,2310
69,2020-05-09,628,358,337,240,656,2219
70,2020-05-10,570,267,283,194,655,1969
71,2020-05-11,564,323,345,230,747,2209
72,2020-05-12,673,284,421,239,967,2584
73,2020-05-13,513,223,277,154,587,1754
74,2020-05-14,550,249,244,167,585,1795
75,2020-05-15,525,283,305,185,550,1848
76,2020-05-16,546,288,302,205,631,1972
77,2020-05-17,578,336,421,252,1075,2662
78,2020-05-18,538,325,287,213,665,2028
79,2020-05-19,512,276,289,206,608,1891
80,2020-05-20,458,244,253,178,600,1733
81,2020-05-21,446,217,260,161,523,1607
82,2020-05-22,438,273,216,154,462,1543
83,2020-05-23,453,237,212,169,478,1549
84,2020-05-24,474,275,231,192,551,1723
85,2020-05-25,460,242,227,199,546,1674
86,2020-05-26,452,317,243,181,553,1746
87,2020-05-27,417,263,256,188,527,1651
88,2020-05-28,420,240,214,171,495,1540
89,2020-05-29,370,220,194,129,468,1381
90,2020-05-30,532,246,252,158,640,1828
91,2020-05-31,447,259,282,191,609,1788
92,2020-06-01,387,190,205,130,435,1347
93,2020-06-02,319,179,140,135,363,1136
94,2020-06-03,321,196,175,127,380,1199
95,2020-06-04,296,193,157,132,336,1114
96,2020-06-05,332,199,177,140,393,1241
97,2020-06-06,334,248,156,134,384,1256
98,2020-06-07,372,219,237,158,484,1470
99,2020-06-08,384,196,220,180,456,1436
100,2020-06-09,388,227,227,163,489,1494
101,2020-06-10,373,258,206,208,403,1448
102,2020-06-11,334,228,161,129,428,1280
103,2020-06-12,1003,670,628,495,1600,4396
104,2020-06-13,2707,1684,1614,1255,3792,11052
105,2020-06-14,2070,1564,1285,956,2904,8779
106,2020-06-15,2626,1482,1607,1123,4183,11021
107,2020-06-16,2268,1889,1498,1175,3588,10418
108,2020-06-17,2669,1885,1664,1167,3959,11344
109,2020-06-18,2319,1501,1496,1044,3515,9875
110,2020-06-19,3127,1831,1905,1315,4817,12995
111,2020-06-20,2619,1513,1695,1173,3944,10944
112,2020-06-21,2816,1521,1583,1137,3802,10859
113,2020-06-22,3136,1883,1992,1458,4802,13271
114,2020-06-23,3807,1887,2083,1455,5149,14381
115,2020-06-24,2645,1578,1726,1237,4518,11704
116,2020-06-25,3377,2090,2114,1588,5234,14403
117,2020-06-26,3524,2371,2186,1717,5721,15519
